name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
La Fon Motel,Manitou Springs,CO,38.85756,-104.89322,"Hotel,Hotels and motels,Hotel and motel reservations,Hotels,Lodging,Motels",Accommodation & Food Services,5,2.4
La Conner Country Inn,La Conner,WA,48.392075,-122.49484,"Hotel,Hotels",Accommodation & Food Services,3,4.333333333333333
Downsville Motel,Downsville,NY,42.04168,-75.02345,"Hotel,Motels,Hotels,Lodging",Accommodation & Food Services,1,4.0
"Jensen's ""On the Gulf""",Captiva,FL,26.51793,-82.19204,"Hotel,Resorts,Hotels Motels,Hotels & Motels,Travel & Transport",Accommodation & Food Services,3,4.666666666666667
Courtyard Seattle Federal Way,Federal Way,WA,47.315853,-122.299644,"Hotel,Hotels Motels,Lodging",Accommodation & Food Services,4,4.25
The London West Hollywood at Beverly Hills,West Hollywood,CA,34.09003,-118.38541,"Hotel,Hotels Motels,Luxury Hotels,Hotels & Motels",Accommodation & Food Services,1,4.0
Courtyard Newport News Airport,Newport News,VA,37.114094,-76.50578,"Hotel,Hotels Motels",Accommodation & Food Services,2,5.0
Courtyard Rockaway-Mt. Arlington,Mount Arlington,NJ,40.89989,-74.63469,"Hotel,Hotels Motels",Accommodation & Food Services,2,4.0
Courtyard Cleveland Beachwood,Beachwood,OH,41.45884,-81.4874,"Hotel,Hotels Motels",Accommodation & Food Services,1,5.0
Courtyard by Marriott Westbury Long Island,Westbury,NY,40.745007,-73.58876,"Hotel,Hotels Motels,Meeting Facilities",Accommodation & Food Services,1,5.0
Best Western Silver Fox Inn,Waterville Valley,NH,43.948467,-71.505104,"Hotel,Lodging,Hotels,Hotels Motels,Motels",Accommodation & Food Services,3,4.666666666666667
Best Western Sawmill Inn,Heber,AZ,34.426613,-110.58548,"Hotel,Hotels Motels",Accommodation & Food Services,1,5.0
Caboose Motel,Titusville,PA,41.624416,-79.67749,"Hotel,Hotels and motels,Hotel and motel reservations,Hotels Motels,Motels,Hotels,Lodging,Titusville Pa",Accommodation & Food Services,1,4.0
Carroll House,Fullerton,ND,46.16217,-98.42703,"Hotel,Hotels,Fullerton Nd",Accommodation & Food Services,1,5.0
SpringHill Suites Phoenix Chandler/Fashion Center,Chandler,AZ,33.306564,-111.897606,"Hotel,Hotels-Apartment,Corporate Lodging,Hotels,Lodging,Motels",Accommodation & Food Services,2,5.0
Best Western Plus Williston Hotel & Suites,Williston,ND,48.18328,-103.62949,"Hotel,Hotels Motels",Accommodation & Food Services,1,5.0
Baymont Inn & Suites Pueblo,Pueblo,CO,38.30646,-104.6112,"Hotel,Hotels Motels,Hotels",Accommodation & Food Services,5,3.8
Americas Best Value Inn - Executive Suite Airport,Anchorage,AK,61.18119,-149.93788,"Hotel,Hotels",Accommodation & Food Services,10,2.6
Culver Cove Resort,Culver,IN,41.21639,-86.42251,"Hotel,Hotels",Accommodation & Food Services,2,2.5
Hostelling International Truro,Truro,MA,42.001747,-70.024864,"Hotel,Hotels,Lodging,Motels",Accommodation & Food Services,1,4.0
Bear Creek Lodge,Cass,WV,38.396343,-79.91434,"Hotel,Motels,Hotels,Resorts,Lodging",Accommodation & Food Services,1,4.0
Inn Der Bach Resort,Big Bear City,CA,34.26359,-116.81884,"Hotel,Hotels,Lodging,Resorts",Accommodation & Food Services,3,1.3333333333333333
Indian Lodge,Fort Davis,TX,30.592897,-103.9436,"Hotel,Resorts,Parks,Restaurants,Hotels",Accommodation & Food Services,1,4.0
Holliday inn Folly Beach,Folly Beach,SC,32.65476,-79.94238,"Hotel,hotels & motels,travel,Hotels and Motels,hotels",Accommodation & Food Services,1,4.0
Hollywood Inn Express South,Los Angeles,CA,34.068027,-118.27014,"Hotel,Hotels",Accommodation & Food Services,8,2.25
Hampton Inn Ashtabula,Austinburg,OH,41.783825,-80.85764,"Hotel,Hotels Motels",Accommodation & Food Services,1,4.0
Harbor Resort,Westport,WA,46.911793,-124.11028,"Hotel,Hotels",Accommodation & Food Services,2,3.5
Hampton Inn Springfield,Springfield,OH,39.894577,-83.81426,"Hotel,Hotels,Lodging,Corporate Lodging",Accommodation & Food Services,5,4.6
Hampton Inn Springfield South,Springfield,MO,37.154762,-93.261314,"Hotel,Hotels Motels",Accommodation & Food Services,1,5.0
Hampton Inn & Suites Big Spring,Big Spring,TX,32.262257,-101.49201,"Hotel,Hotels Motels",Accommodation & Food Services,1,5.0
Grand Coulee Center Lodge,Grand Coulee,WA,47.937267,-119.00316,"Hotel,Motels,Lodging,Hotels",Accommodation & Food Services,3,3.6666666666666665
Hampton Inn Columbus/South-Fort Benning,Columbus,GA,32.394726,-84.95484,"Hotel,Hotels Motels",Accommodation & Food Services,10,4.8
Motel 6 Norfolk,Norfolk,VA,36.85265,-76.21203,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,2,3.0
Hampton Inn Suites Blythe,Blythe,CA,33.6062,-114.56938,"Hotels,Lodging,Corporate Lodging,Hotels and motels,Hotel and motel reservations,Hotel",Accommodation & Food Services,2,4.5
Ramona Lake Cabins,Red Feather Lakes,CO,40.800117,-105.58694,"Cabins and Chalets,Hotels,Resorts,Hotel",Accommodation & Food Services,1,4.0
Country Vintage Inn,Osawatomie,KS,38.49181,-94.94932,"Hotels,Lodging,Motels,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,3,4.333333333333333
Clubhouse Oakbrook Inn & Suites,Westmont,IL,41.812249,-87.950818,"Hotel,Hotels and motels,Hotel and motel reservations,Hotels",Accommodation & Food Services,6,3.8333333333333335
My Place Suites,Wickenburg,AZ,33.9652,-112.73532,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,1,5.0
Cobblestone Hotel Suites,Seward,NE,40.88648,-97.10204,"Hotels,Lodging,Motels,Hotels Motels,Hotel,Hotels & Motels",Accommodation & Food Services,2,5.0
Salem Motel,Salem,IN,38.61008,-86.11781,"Motels,Hotels,Lodging,Hotels Motels,Motel Hotel Consultants,Wholesale Motel Hotel Equipment,Hotels & Motels,Motel & Hotel Consultants,Wholesale Motel & Hotel Equipment,Hotels and Motels","Wholesale Trade,Accommodation & Food Services",2,3.0
Best Western Danville Inn,Danville,PA,40.99384,-76.64061,"Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,7,3.7142857142857144
Park Lane Motel,Lake George,NY,43.42851,-73.71063,"Motels,Hotels,Lodging,Hotels and motels,hotel",Accommodation & Food Services,1,5.0
Days Inn Jackson,Jackson,OH,39.03629,-82.6269,"Hotels,Lodging,Motels,Hotels Motels,Budget Hotels,Hotels & Motels,Hotel",Accommodation & Food Services,2,3.0
Best Western Mt. Vernon Inn,Mount Vernon,MO,37.0977,-93.79666,"Hotels,Lodging,Hotel",Accommodation & Food Services,1,5.0
Best Western Marble Falls Inn,Marble Falls,TX,30.58338,-98.27234,"Hotels,Lodging,Corporate Housing,Hotels Motels,Hotel",Accommodation & Food Services,1,4.0
Hampton Inn Suites Lavonia,Lavonia,GA,34.4463,-83.1284,"Hotels,Lodging,Corporate Lodging,Hotels and motels,Hotel and motel reservations,Hotel,Hotels & Motels",Accommodation & Food Services,1,5.0
Bluewater Inn And Suites,Grand Haven,MI,43.054,-86.2448,"Hotels and motels,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Clevedale Historic Inn And Gardens,Spartanburg,SC,34.932408,-82.0298399,"Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Hampton Inn & Suites Rochester/Victor,Victor,NY,43.02184,-77.43977,"Hotel,Hotels",Accommodation & Food Services,4,4.75
